date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2022-04-29,台北市中山區龍江路１號九樓之１,9,套房,18,16.35315059466,1,1,1,1,1,0,25000.0
2022-04-30,台北市內湖區文德路２１０巷８號１０樓之４,10,住宅,27,12.735250463100002,1,2,1,0,1,0,25000.0
2022-04-25,台北市內湖區文湖街４２號４樓之２,4,住宅,7,128.24790466356,3,2,3,1,1,1,135000.0
2022-04-27,台北市中山區德惠街７之５號４樓,4,住宅,3,30.68257611573,2,1,2,0,1,0,40000.0
2022-04-22,台北市內湖區環山路二段２８號３樓之１０,3,住宅,5,23.35905084942,1,1,1,1,1,0,39001.0
2022-04-30,台北市內湖區康寧路２６９號６樓,6,住宅,18,57.37215208626,3,2,2,1,1,1,60000.0
2022-04-29,台北市內湖區內湖路一段６６１號８樓,8,住宅,13,53.83592695767,2,2,2,1,1,0,62000.0
2022-04-20,台北市中山區林森北路３６３號１３樓之５,13,住宅,14,20.152550732820004,1,1,1,1,1,0,48627.0
2022-05-01,台北市中山區南京東路一段１３２巷２９號三樓之２,3,套房,46,11.425425415470002,1,0,1,1,1,0,18000.0
2022-05-10,台北市中山區吉林路１５４巷２２號５樓,5,住宅,40,27.09492598527,3,2,2,1,0,0,28000.0
2022-04-27,台北市內湖區成功路三段１６４號４樓,4,住宅,41,38.9015014146,3,2,2,1,1,0,35000.0
2022-04-27,台北市中山區德惠街４５號６樓之２１,6,套房,44,9.71630035332,1,0,1,1,1,0,15500.0
2022-04-19,台北市大同區南京西路５７號十二樓之５,12,住宅,4,18.64610067804,1,1,1,1,1,0,40000.0
2022-04-22,台北市萬華區水源路２０５之２號４樓,4,住宅,26,48.81745177518,3,2,2,1,1,0,30000.0
2022-04-26,台北市大同區保安街１之２０號,1,住宅,45,20.41572574239,2,1,1,1,1,0,22000.0
2022-04-29,台北市松山區光復南路６巷５５號七樓,7,住宅,42,21.69832578903,2,2,1,1,1,0,30000.0
2022-04-16,台北市松山區民權東路三段１０６巷３弄６７號五樓,5,住宅,38,39.7182514443,3,2,2,1,1,0,59000.0
2022-04-16,台北市信義區吳興街６００巷７６弄８８號４樓之１,4,住宅,25,15.62110056804,2,1,1,1,0,0,18000.0
2022-04-19,台北市松山區南京東路四段２３號４樓之５,4,住宅,15,16.90067561457,1,1,1,1,1,0,33000.0
2022-05-01,台北市士林區德行東路１９號二樓,2,住宅,40,18.56745067518,2,2,1,1,0,0,20000.0
2022-04-20,台北市北投區杏林二路３２號２樓,2,住宅,30,22.92345083358,4,2,2,1,1,0,23000.0
